,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPOOMLOKNHOFFBC87CA,培德段,4.31,都市：住,10000,5,持分移轉,7640000
1,RPSNMLPKNHOFFBC28CA,中正段三小段,36.5,都市：住,4,1,持分移轉,250044
2,RPRNMLMLNHOFFBC97CA,港濱段,5.28,都市：住,72,4,持分移轉,13720000
3,RPRNMLMLNHOFFBC97CA,港濱段,0.61,都市：其他:道路用地,72,4,持分移轉,13720001
4,RPROMLPKNHOFFCC38CA,源遠段,39.98,都市：住,5000,108,持分移轉,11240004
5,RPROMLPKNHOFFCC38CA,源遠段,4.73,都市：住,5000,108,持分移轉,11250001
6,RPQNMLTKNHOFFCC58CA,五堵段五堵北小段,26.5,都市：住,1000,46,持分移轉,6580000
7,RPTNMLQJOHOFFBC48CA,培德段,23.64,都市：住,100000,83,持分移轉,4270000
8,RPUNMLQJOHOFFBC58CA,培德段,24.5,都市：住,100000,86,持分移轉,4270000
9,RPVNMLQJOHOFFBC68CA,培德段,26.78,都市：住,100000,94,持分移轉,4270000
10,RPWNMLQJOHOFFBC78CA,培德段,26.78,都市：住,100000,94,持分移轉,4270000
11,RPXNMLQJOHOFFBC88CA,培德段,27.92,都市：住,100000,98,持分移轉,4270000
12,RPOOMLQJOHOFFBC08CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
13,RPPOMLQJOHOFFBC18CA,培德段,19.09,都市：住,100000,67,持分移轉,4270000
14,RPQOMLQJOHOFFBC28CA,培德段,19.09,都市：住,100000,67,持分移轉,4270000
15,RPSOMLQJOHOFFBC48CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
16,RPTOMLQJOHOFFBC58CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
17,RPUOMLQJOHOFFBC68CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
18,RPVOMLQJOHOFFBC78CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
19,RPXOMLQJOHOFFBC98CA,培德段,23.93,都市：住,100000,84,持分移轉,4270000
20,RPOPMLQJOHOFFBC18CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
21,RPPPMLQJOHOFFBC28CA,培德段,14.24,都市：住,100000,50,持分移轉,4270000
22,RPQPMLQJOHOFFBC38CA,培德段,28.2,都市：住,100000,99,持分移轉,4270000
23,RPRNMLKKOHOFFBC77CA,培德段,13.96,都市：住,100000,49,持分移轉,4270000
24,RPSNMLKKOHOFFBC87CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
25,RPQNMLTKNHOFFBC48CA,祥豐段,83.0,都市：住,1,1,全筆移轉,2280000
26,RPSOMLRKNHOFFCC68CA,榮華段,16.6,都市：商,5,1,持分移轉,4140000
27,RPRNMLKMNHOFFBC97DA,深美段,1016.27,都市：住,1,1,全筆移轉,590000
28,RPPOMLRKNHOFFCC58EA,武嶺段,18.34,都市：其他:部分道路；部分住宅,10000,31,持分移轉,3930000
29,RPPOMLRKNHOFFCC58EA,武嶺段,0.19,都市：其他:保護區,10000,31,持分移轉,3930001
30,RPPOMLRKNHOFFCC58EA,武嶺段,0.01,都市：其他:道路用地,10000,31,持分移轉,3930002
31,RPPOMLRKNHOFFCC58EA,武嶺段,6.42,都市：住,10000,31,持分移轉,3930003
32,RPQNMLRLNHOFFCC48CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
33,RPRNMLRLNHOFFCC58CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
34,RPTNMLMLNHOFFCC28CA,麥金段,0.16,都市：其他:學校用地,120000,948,持分移轉,3390000
35,RPTNMLMLNHOFFCC28CA,麥金段,2.64,都市：其他:學校用地,120000,948,持分移轉,3410000
36,RPTNMLMLNHOFFCC28CA,麥金段,0.28,都市：其他:學校用地,120000,948,持分移轉,3420000
37,RPTNMLMLNHOFFCC28CA,麥金段,43.58,都市：住,120000,948,持分移轉,3750000
38,RPTNMLMLNHOFFCC28CA,麥金段,0.05,都市：其他:道路用地,120000,948,持分移轉,3750001
39,RPTNMLMLNHOFFCC28CA,麥金段,0.25,都市：其他:道路用地,120000,948,持分移轉,3820000
40,RPQNMLNLNHOFFCC08CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
41,RPRNMLNLNHOFFCC18CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
42,RPTNMLNLNHOFFCC38CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
43,RPUNMLNLNHOFFCC48CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
44,RPWNMLNLNHOFFCC68CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
45,RPXNMLNLNHOFFCC78CA,五堵段五堵北小段,19.65,都市：住,10000,66,持分移轉,6470000
46,SPXNMLNLNHOFFCC88CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
47,TPXNMLNLNHOFFCC98CA,五堵段五堵北小段,37.21,都市：住,10000,125,持分移轉,6470000
48,RPROMLNLNHOFFCC48EA,麥金段,23.31,都市：住,10000,362,持分移轉,8130001
49,RPSNMLRKOHOFFBC78EA,培德段,21.53,都市：住,10000,25,持分移轉,7640000
50,RPQOMLTLNHOFFCC98EA,榮華段,15.0,都市：商,1,1,全筆移轉,2900000
51,RPQOMLTLNHOFFCC98EA,榮華段,28.0,都市：住,1,1,全筆移轉,2900001
52,RPXNMLSLNHOFFBC56CA,南新段,16.5,都市：住,4,3,持分移轉,8790000
53,RPQOMLMLNHOFFBC97CA,港濱段,2.09,都市：住,10000,25,持分移轉,13460000
54,RPQOMLMLNHOFFBC97CA,港濱段,0.03,都市：其他:道路用地,10000,25,持分移轉,13460001
55,RPQOMLMLNHOFFBC97CA,港濱段,0.14,都市：其他:道路用地,10000,25,持分移轉,13460002
56,RPQOMLMLNHOFFBC97CA,港濱段,0.06,都市：其他:道路用地,10000,25,持分移轉,13470001
57,RPQOMLMLNHOFFBC97CA,港濱段,0.0,都市：其他:港埠用地,10000,25,持分移轉,17500001
58,RPUNMLSJPHOFFCC98CA,源遠段,55.24,都市：住,100000,1138,持分移轉,12450000
59,RPUNMLSJPHOFFCC98CA,源遠段,0.81,都市：住,100000,1138,持分移轉,12610001
60,RPVNMLSJPHOFFCC09CA,源遠段,47.7,都市：住,100000,343,持分移轉,12400000
61,RPVNMLSJPHOFFCC09CA,源遠段,0.1,都市：住,100000,343,持分移轉,12440000
62,RPTPMLKLOHOFFBC28CA,祥豐段,19.0,都市：住,1,1,全筆移轉,7390000
63,RPPNMLPLNHOFFCC18CA,源遠段,20.75,都市：住,10000,74,持分移轉,5940000
64,RPPNMLSLNHOFFBC48DA,港灣段三小段,67.0,都市：住,1,1,全筆移轉,180023
65,RPPNMLSLNHOFFBC48DA,港灣段三小段,1.0,都市：住,1,1,全筆移轉,180038
66,RPROMLKMNHOFFBC97CA,長潭段,14.2,都市：住,100000,52,持分移轉,8920000
67,RPUNMLTLNHOFFCC09CA,麥金段,48.36,都市：住,75,2,持分移轉,2830000
68,RPUNMLTLNHOFFCC09CA,麥金段,2.93,都市：住,75,2,持分移轉,3020000
69,RPPPMLKLOHOFFBC87CA,延年段,16.4,都市：商,10000,800,持分移轉,9830000
70,RPPPMLKLOHOFFBC87CA,延年段,0.16,都市：其他:道路,10000,800,持分移轉,9830001
71,RPPPMLKLOHOFFBC87CA,延年段,0.08,都市：其他:道路,10000,800,持分移轉,9830002
72,RPPOMLKMNHOFFCC87CA,大武崙段內寮小段,25.0,都市：住,2341,25,持分移轉,5960000
73,RPOOMLOJOHOFFCC97CA,安國段,33.38,都市：住,40,1,持分移轉,40002
74,RPRNMLNJOHOFFBC97CA,中濱段,22.0,都市：商,1,1,全筆移轉,60008
75,RPRNMLNJOHOFFBC97CA,中濱段,11.0,都市：其他:道路用地,1,1,全筆移轉,60084
76,RPVNMLOLOHOFFBC68CA,培德段,24.5,都市：住,100000,86,持分移轉,4270000
77,RPWNMLOLOHOFFBC78CA,培德段,27.92,都市：住,100000,98,持分移轉,4270000
78,RPXNMLOLOHOFFBC88CA,培德段,24.5,都市：住,100000,86,持分移轉,4270000
79,RPPNMLNJOHOFFCC87CA,源遠段,13.4,都市：商,10000,71,持分移轉,11400000
80,RPPOMLOLOHOFFBC18CA,培德段,26.78,都市：住,100000,94,持分移轉,4270000
81,RPQOMLOLOHOFFBC28CA,培德段,28.2,都市：住,100000,99,持分移轉,4270000
82,RPROMLOLOHOFFBC38CA,培德段,19.09,都市：住,100000,67,持分移轉,4270000
83,RPSOMLOLOHOFFBC48CA,培德段,30.2,都市：住,100000,106,持分移轉,4270000
84,RPVNMLLKOHOFFCC38CA,代天府段,0.03,都市：其他:道路用地,500000,168,持分移轉,8370006
85,RPVNMLLKOHOFFCC38CA,代天府段,13.68,都市：其他:部份住宅部份道路用地,500000,168,持分移轉,8370000
86,RPVNMLLKOHOFFCC38CA,代天府段,0.08,都市：其他:道路用地,500000,168,持分移轉,8370001
87,RPVNMLLKOHOFFCC38CA,代天府段,0.11,都市：住,500000,168,持分移轉,8370002
88,RPVNMLLKOHOFFCC38CA,代天府段,0.02,都市：其他:保護區,500000,168,持分移轉,8370003
89,RPVNMLLKOHOFFCC38CA,代天府段,0.0,都市：住,500000,168,持分移轉,8370004
90,RPVNMLLKOHOFFCC38CA,代天府段,0.05,都市：住,500000,168,持分移轉,8370005
91,RPPNMLSKOHOFFCC48CA,代天府段,28.91,都市：其他:部份住宅區部份道路用地,100000,71,持分移轉,8370000
92,RPPNMLSKOHOFFCC48CA,代天府段,0.18,都市：其他:道路用地,100000,71,持分移轉,8370001
93,RPPNMLSKOHOFFCC48CA,代天府段,0.23,都市：住,100000,71,持分移轉,8370002
94,RPPNMLSKOHOFFCC48CA,代天府段,0.05,都市：其他:保護區,100000,71,持分移轉,8370003
95,RPPNMLSKOHOFFCC48CA,代天府段,0.0,都市：住,100000,71,持分移轉,8370004
96,RPPNMLSKOHOFFCC48CA,代天府段,0.11,都市：住,100000,71,持分移轉,8370005
97,RPPNMLSKOHOFFCC48CA,代天府段,0.07,都市：其他:道路用地,100000,71,持分移轉,8370006
98,RPOOMLQLOHOFFCC38CA,暖暖段東勢坑小段,47.07,都市：住,464,8,持分移轉,8420000
99,RPPNMLQLOHOFFCC38CA,太平段,10.05,都市：商,10000,394,持分移轉,5200000
100,RPPNMLQLOHOFFCC38CA,太平段,6.54,都市：住,10000,394,持分移轉,5240000
101,RPVNMLPJOHOFFCC88EA,五堵段五堵北小段,30.7,都市：住,10,1,持分移轉,8750001
102,RPPNMLRJOHOFFCC28CA,保定段,86.0,都市：住,1,1,全筆移轉,5230000
103,RPPNMLMLOHOFFCC97CA,保定段,27.25,都市：住,4,1,持分移轉,4470000
104,RPPNMLMLOHOFFCC97CA,保定段,10.5,都市：其他:道,4,1,持分移轉,4470001
105,RPRNMLPLOHOFFBC38CA,長潭段,41.89,都市：住,36,4,持分移轉,10190000
106,RPRNMLPLOHOFFBC38CA,長潭段,1.22,都市：其他:道路用地,36,4,持分移轉,10190001
107,RPRNMLPLOHOFFBC38CA,長潭段,18.0,都市：其他:道路用地,36,4,持分移轉,10190002
108,RPWNMLNKOHOFFBC58CA,延年段,24.75,都市：住,4,1,持分移轉,14010000
109,RPOOMLNKOHOFFBC87CA,深美段,0.02,都市：其他:道路用地,10000,84,持分移轉,5410000
110,RPOOMLNKOHOFFBC87CA,深美段,20.36,都市：住,10000,84,持分移轉,8110000
111,RPQNMLOKOHOFFCC18CA,麥金段,23.29,都市：住,100000000,65226,持分移轉,5250000
112,RPQNMLOKOHOFFCC18CA,麥金段,0.03,都市：住,100000000,65226,持分移轉,5270001
113,RPQNMLOKOHOFFCC18CA,麥金段,0.01,都市：住,100000000,65226,持分移轉,5290002
114,RPTNMLRLOHOFFCC88CA,友蚋段港口小段,302.0,都市：其他:非都市計畫區,1,1,全筆移轉,3630001
115,RPVNMLOKOHOFFCC68CA,情人湖段,29.28,都市：住,100000,124,持分移轉,1350000
116,RPVNMLOKOHOFFCC68CA,情人湖段,0.09,都市：其他:道路用地,100000,124,持分移轉,1350001
117,RPUNMLSKOHOFFCC56EA,麥金段,3.22,都市：住,100000,14,持分移轉,5350000
118,RPUNMLSKOHOFFCC56EA,麥金段,0.12,都市：住,100000,14,持分移轉,5350001
119,RPUNMLSKOHOFFCC56EA,麥金段,0.07,都市：住,100000,14,持分移轉,5350002
120,RPUNMLSKOHOFFCC56EA,麥金段,0.07,都市：其他:市場用地,100000,14,持分移轉,5350003
121,RPUNMLSKOHOFFCC56EA,麥金段,0.01,都市：住,100000,14,持分移轉,5350004
122,RPUNMLSKOHOFFCC56EA,麥金段,0.0,都市：住,100000,14,持分移轉,5350005
123,RPUNMLSKOHOFFCC56EA,麥金段,0.0,都市：住,100000,14,持分移轉,5350006
124,RPUNMLSKOHOFFCC56EA,麥金段,0.0,都市：住,100000,14,持分移轉,5350007
125,RPUNMLLLOHOFFBC38DA,深美段,37.68,都市：住,1,1,全筆移轉,9010000
126,RPUNMLLLOHOFFBC38DA,深美段,45.51,都市：住,1,1,全筆移轉,9020000
127,RPOOMLOKOHOFFCC08CA,新會段,45.38,都市：住,10000,149,持分移轉,480000
128,RPWNMLOLOHOFFCC88CA,工建段,18.18,都市：商,10000,169,持分移轉,7050000
129,RPPNMLTJPHOFFBC48CA,港濱段,42.23,都市：住,10000,262,持分移轉,12980002
130,RPSOMLSJPHOFFCC88CA,金華段,23.13,都市：住,8261,33,持分移轉,40000
131,RPSOMLSJPHOFFCC88CA,金華段,1.66,都市：其他:兒童遊樂場用地,8261,33,持分移轉,40001
132,RPSOMLSJPHOFFCC88CA,金華段,2.67,都市：其他:保護區,8261,33,持分移轉,40002
133,RPTOMLRLOHOFFCC98CA,源遠段,34.93,都市：住,10000,128,持分移轉,240000
134,RPUOMLRLOHOFFCC09CA,源遠段,34.93,都市：住,10000,128,持分移轉,240000
135,RPQNMLSLOHOFFCC68CA,新崙段,30.83,都市：住,60,2,持分移轉,6460000
136,RPRNMLRKOHOFFBC58DA,培德段,23.89,都市：住,10000,94,持分移轉,7520000
137,RPQNMLPKPHOFFCC58EA,麥金段,13.96,都市：住,100000,96,持分移轉,6130000
138,RPQNMLPKPHOFFCC58EA,麥金段,0.4,都市：其他:保護區,100000,96,持分移轉,6130001
139,RPWNMLLLOHOFFBC48CA,調和段,34.47,都市：住,10000,27,持分移轉,3840000
140,RPSNMLSLOHOFFBC78CA,培德段,28.68,都市：住,10000,82,持分移轉,7670000
141,RPPOMLTKOHOFFCC88EA,金華段,50.12,都市：住,1,1,全筆移轉,5480000
142,RPTNMLLLOHOFFBC28DA,忠義段五小段,14.5,都市：商,4,1,持分移轉,100007
143,RPTNMLPLOHOFFBC58CA,新店段四小段,7.88,都市：商,10000,87,持分移轉,4010000
144,RPTNMLPLOHOFFBC58CA,新店段四小段,0.1,都市：其他:道路用地,10000,87,持分移轉,4010010
145,RPTNMLPLOHOFFBC58CA,新店段四小段,2.99,都市：商,10000,87,持分移轉,4170000
146,RPUNMLQLOHOFFCC88CA,大華段,35.4,都市：商,10000,1000,持分移轉,13890000
147,RPXOMLPLOHOFFCC76EA,大華段,10.0,都市：住,1,1,全筆移轉,20330009
148,RPSNMLPKPHOFFBC48CA,培德段,30.2,都市：住,100000,106,持分移轉,4270000
149,RPTNMLPKPHOFFBC58CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
150,RPUNMLPKPHOFFBC68CA,培德段,27.92,都市：住,100000,98,持分移轉,4270000
151,RPVNMLPKPHOFFBC78CA,培德段,24.21,都市：住,100000,85,持分移轉,4270000
152,RPWNMLPKPHOFFBC88CA,培德段,26.78,都市：住,100000,94,持分移轉,4270000
153,RPOOMLPKPHOFFBC18CA,培德段,23.64,都市：住,100000,83,持分移轉,4270000
154,RPPOMLPKPHOFFBC28CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
155,RPQOMLPKPHOFFBC38CA,培德段,23.64,都市：住,100000,83,持分移轉,4270000
156,RPROMLPKPHOFFBC48CA,培德段,14.53,都市：住,100000,51,持分移轉,4270000
157,RPSNMLRLOHOFFBC68CA,深澳坑段槓子寮小段,106.25,都市：住,4,1,持分移轉,2270000
158,RPSOMLTJPHOFFCC98CA,明德段,24.57,都市：住,7440,146,持分移轉,3610000
159,RPSOMLTJPHOFFCC98CA,明德段,0.65,都市：商,7440,146,持分移轉,3610001
160,RPSOMLTJPHOFFCC98CA,明德段,0.51,都市：其他:市場用地,7440,146,持分移轉,3610002
161,RPQOMLSLOHOFFBC68CA,祥豐段,29.8,都市：住,10,2,持分移轉,6380000
162,RPWNMLPLPHOFFBC98CA,中濱段,24.1,都市：商,4820,482,持分移轉,200008
