,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPUNMLOKNHOFFAW67CA,4.0,31.72,集合住宅,鋼筋混凝土造,103年11月13日,三層,二層 陽台
1,RPUNMLOKNHOFFAW67CA,4.0,4.36,共有部分：本共有部分之項目有走廊、樓梯間等二項。,鋼筋混凝土造,103年11月13日,三層,nan
2,RPUNMLLLNHOFFAW47CA,3.0,79.62,集合住宅,鋼筋混凝土造,105年4月21日,八層,二層 陽台 雨遮
3,RPUNMLLLNHOFFAW47CA,3.0,23.35,共有部分：本共有部分之項目有梯間、防空避難室兼停車空間、車道、升降機機道、機電消防室、電信室、台電配電室、清水池、消防水池、外廊、水錶室、水箱及電梯機房等１３項。,鋼筋混凝土造,105年4月21日,八層,nan
4,RPQNMLOLNHOFFAW37CA,1.0,54.91,集合住宅,鋼筋混凝土造,107年7月13日,三層,一層 陽台 雨遮
5,RPQNMLOLNHOFFAW37CA,1.0,5.94,共有部分：本共有部分之項目有梯間１項。,鋼筋混凝土造,107年7月13日,三層,nan
6,RPUNMLTKOHOFFAW38DA,3.0,53.31,集合住宅,鋼筋混凝土造,104年12月1日,十層,二層 陽台 雨遮
7,RPUNMLTKOHOFFAW38DA,3.0,4.64,共有部分：本共有部分之項目有梯廳１項。,鋼筋混凝土造,104年12月1日,十層,nan
8,RPUNMLTKOHOFFAW38DA,3.0,5.89,共有部分：本共有部分之項目有安全梯、昇降機、梯廳、水錶室、屋頂水箱、電梯機械室等６項。,鋼筋混凝土造,104年12月1日,十層,nan
9,RPUNMLTKOHOFFAW38DA,3.0,5.49,共有部分：本共有部分之項目有車道、管委會空間、梯廳、陽台、蓄水池、防空避難室兼停車空間、電信機房、機械室、緊急發電機室、消防泵浦室、昇降機、安全梯、台電配電場所等１３項。本成果表停車位共計４１位。,鋼筋混凝土造,104年12月1日,十層,nan
10,RPSOMLMKOHOFFAW57DA,nan,371.28,農舍,鋼筋混凝土造,108年4月18日,三層,一層 二層 三層 陽台 地下一層
11,RPQNMLOKOHOFFAW47DA,40.0,106.02,住商用,鋼筋混凝土造,1968年4月15日,三層,一層 二層 三層
12,RPPOMLSKOHOFFAW77CA,3.0,64.59,集合住宅,鋼筋混凝土造,105年6月17日,七層,七層 陽台 雨遮
13,RPPOMLSKOHOFFAW77CA,3.0,25.4,共有部分：本共有部分之項目有梯間、防空避難室兼停車空間、消防水池、機電消防室、台電配電室、雨遮、汽車升降機房、汽車昇降道、清水池、電信室、車道、外廊、水錶室、水箱、電梯機房等１５項。,鋼筋混凝土造,105年6月17日,七層,nan
14,RPOOMLPLOHOFFAW47CA,2.0,75.08,集合住宅,鋼筋混凝土造,106年11月16日,三層,二層 陽台
15,RPOOMLPLOHOFFAW47CA,2.0,6.83,共有部分：本共有部分之項目有門廳及樓梯間等２項。,鋼筋混凝土造,106年11月16日,三層,nan
16,RPXNMLMJPHOFFAW87CA,8.0,96.26,農舍,鋼筋混凝土造,100年5月9日,三層,一層 二層 三層 陽台 雨遮
17,RPXNMLMJPHOFFAW87CA,8.0,96.26,農舍,鋼筋混凝土造,100年5月9日,三層,一層 二層 三層 陽台 雨遮
18,RPVNMLLJPHOFFAW57CA,25.0,168.95,住家用,鋼筋混凝土加強磚造,1983年11月9日,一層,一層
19,UPSNMLMJPHOFFAW67CA,6.0,22.34,一般事務所,鋼筋混凝土造,102年10月30日,五層,五層 雨遮 見其他登記事項
20,UPSNMLMJPHOFFAW67CA,6.0,8.6,共有部分：本共有部分之項目計有雨遮、樓梯間、電梯機房、水箱等四項。,鋼筋混凝土造,102年10月30日,五層,nan
21,RPVNMLNJPHOFFAW77CA,5.0,31.72,集合住宅,鋼筋混凝土造,103年11月13日,三層,二層 陽台
22,RPVNMLNJPHOFFAW77CA,5.0,4.36,共有部分：本共有部分之項目有走廊、樓梯間等二項。,鋼筋混凝土造,103年11月13日,三層,nan
23,RPWNMLKKPHOFFAW67CA,1.0,173.2,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
24,RPWNMLKKPHOFFAW67CA,1.0,57.21,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
25,RPOOMLKKPHOFFAW96CA,1.0,191.61,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
26,RPOOMLKKPHOFFAW96CA,1.0,47.22,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
27,RPQOMLKKPHOFFAW17CA,1.0,177.42,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
28,RPQOMLKKPHOFFAW17CA,1.0,43.66,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
29,RPSOMLKKPHOFFAW37CA,1.0,196.53,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
30,RPSOMLKKPHOFFAW37CA,1.0,47.22,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
31,RPUOMLKKPHOFFAW57CA,1.0,189.38,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
32,RPUOMLKKPHOFFAW57CA,1.0,46.51,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
33,RPWOMLKKPHOFFAW77CA,1.0,118.89,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 陽台
34,RPWOMLKKPHOFFAW77CA,1.0,47.08,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
35,RPPOMLMKPHOFFAW27CA,1.0,104.79,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 陽台
36,RPPOMLMKPHOFFAW27CA,1.0,44.23,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
37,RPSNMLMKPHOFFAW47CA,1.0,183.31,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
38,RPSNMLMKPHOFFAW47CA,1.0,44.37,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
39,RPUNMLMKPHOFFAW67CA,1.0,90.64,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 陽台
40,RPUNMLMKPHOFFAW67CA,1.0,40.37,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
41,RPQNMLMKPHOFFAW27CA,1.0,173.2,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
42,RPQNMLMKPHOFFAW27CA,1.0,43.23,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
43,RPSNMLPKPHOFFAW77CA,1.0,191.61,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
44,RPSNMLPKPHOFFAW77CA,1.0,33.24,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
45,RPVNMLPKPHOFFAW08CA,1.0,196.29,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
46,RPVNMLPKPHOFFAW08CA,1.0,47.65,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
47,RPXNMLPKPHOFFAW28CA,1.0,196.59,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
48,RPXNMLPKPHOFFAW28CA,1.0,47.79,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
49,RPROMLPKPHOFFAW77CA,1.0,219.42,住家用,鋼筋混凝土造,107年11月30日,三層,一層 二層 三層 屋頂突出物
50,RPQNMLSKPHOFFAW87CA,1.0,205.48,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
51,RPQNMLSKPHOFFAW87CA,1.0,47.79,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
52,RPSNMLSKPHOFFAW08CA,1.0,177.54,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
53,RPSNMLSKPHOFFAW08CA,1.0,43.66,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
54,RPQNMLOKQHOFFAW57CA,16.0,43.3,住家用,鋼筋混凝土造,1992年9月29日,二層,一層 二層 陽台
55,RPQNMLLMPHOFFAW47DA,1.0,52.19,集合住宅,鋼筋混凝土造,107年10月25日,三層,一層
56,RPQNMLLMPHOFFAW47DA,1.0,5.32,共有部分：本共有部分之項目有無障礙樓梯１項。,鋼筋混凝土造,107年10月25日,三層,nan
57,RPPOMLQLPHOFFAW77CA,3.0,60.96,集合住宅,鋼筋混凝土造,105年6月17日,七層,二層 陽台 雨遮
58,RPPOMLQLPHOFFAW77CA,3.0,23.94,共有部分：本共有部分之項目有梯間、防空避難室兼停車空間、消防水池、機電消防室、台電配電室、雨遮、汽車升降機房、汽車昇降道、清水池、電信室、車道、外廊、水錶室、水箱、電梯機房等１５項。,鋼筋混凝土造,105年6月17日,七層,nan
59,RPSNMLQLPHOFFAW97CA,3.0,79.79,集合住宅,鋼筋混凝土造,105年4月21日,八層,五層 陽台 雨遮
60,RPSNMLQLPHOFFAW97CA,3.0,22.76,共有部分：本共有部分之項目有梯間、防空避難室兼停車空間、車道、升降機機道、機電消防室、電信室、台電配電室、清水池、消防水池、外廊、水錶室、水箱及電梯機房等１３項。,鋼筋混凝土造,105年4月21日,八層,nan
61,RPQNMLQLPHOFFAW77CA,3.0,69.35,集合住宅,鋼筋混凝土造,105年4月21日,八層,一層
62,RPQNMLQLPHOFFAW77CA,3.0,22.51,共有部分：本共有部分之項目有梯間、防空避難室兼停車空間、車道、升降機機道、機電消防室、電信室、台電配電室、清水池、消防水池、外廊、水錶室、水箱及電梯機房等１３項。,鋼筋混凝土造,105年4月21日,八層,nan
63,RPPNMLTLPHOFFAW97CA,3.0,58.31,集合住宅,鋼筋混凝土造,105年11月23日,九層,八層 陽台 雨遮
64,RPPNMLTLPHOFFAW97CA,3.0,27.29,共有部分：本共有部分之項目有停車空間兼防空避難室、水箱、消防泵浦室、電信室、發電機室、台電配電室、梯廳、電樓梯間、（停車空間（一樓）垃圾儲藏空間、管委會辦公室、車道、陽台、雨遮、機械室、消防水池、雨水貯留池、基地內通路穿廊等１８項。,鋼筋混凝土造,105年11月23日,九層,nan
65,RPOPMLQLPHOFFAW77CA,2.0,75.08,集合住宅,鋼筋混凝土造,106年11月16日,三層,二層 陽台
66,RPOPMLQLPHOFFAW77CA,2.0,6.83,共有部分：本共有部分之項目有門廳及樓梯間等２項。,鋼筋混凝土造,106年11月16日,三層,nan
67,RPWNMLKMPHOFFAW87CA,3.0,84.5,辦公室（廳）,鋼筋混凝土造,105年12月6日,十層,三層 陽台 雨遮
68,RPWNMLKMPHOFFAW87CA,3.0,32.85,共有部分：本共有部分之項目有消防水箱、機電消防室、台電配電室、清水池、汽車昇降道、防空避難室兼停車空間、電信室、外廊、梯廳、安全梯、車道、水錶室、電梯機房、水箱、梯間等１５項。,鋼筋混凝土造,105年12月6日,十層,nan
69,RPUNMLQLQHOFFAW28CA,35.0,145.71,住家用,鋼筋混凝土造,1973年9月1日,二層,一層 二層 陽台
70,RPWNMLLJQHOFFAW77CA,1.0,181.96,集合住宅,鋼筋混凝土造,107年9月28日,三層,一層 二層 三層 陽台
71,RPWNMLLJQHOFFAW77CA,1.0,44.37,共有部分：本共有部分之項目有消防機房（兼發電機室）、車道、儲藏室、台電配電室、停車空間、樓梯、梯廳、門廊及無障礙電梯等９項。,鋼筋混凝土造,107年9月28日,三層,nan
72,RPSNMLSJQHOFFAW08CA,2.0,75.18,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,三層
73,RPSNMLSJQHOFFAW08CA,2.0,6.55,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,nan
74,SPSNMLSJQHOFFAW18CA,2.0,75.18,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,一層
75,SPSNMLSJQHOFFAW18CA,2.0,6.55,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,nan
76,TPSNMLSJQHOFFAW28CA,2.0,75.98,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,一層
77,TPSNMLSJQHOFFAW28CA,2.0,6.55,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,nan
78,RPQNMLMJRHOFFAW47DA,57.0,69.0,住商用,鋼筋混凝土造,1951年6月1日,三層,一層 二層 三層 陽台 平台
